timestamp sender receiver
0 0 18
1 1 18
2 3 16
3 5 18
4 4 19
5 2 19
6 4 11
7 4 16
8 5 14
9 1 15
10 4 10
11 9 19
12 3 11
13 3 11
14 8 17
15 6 11
16 1 16
17 0 11
18 9 16
19 6 17
20 4 19
21 8 12
22 6 13
23 8 19
24 1 13
25 6 13
26 2 12
27 7 11
28 8 17
29 0 17
30 7 19
31 1 18
32 7 18
33 7 15
34 6 18
35 2 10
36 3 11
37 0 17
38 6 17
39 1 14
40 2 17
41 4 17
42 6 14
43 2 17
44 7 14
45 4 10
46 1 13
47 4 16
48 1 17
49 1 17
50 8 17
51 0 12
52 6 14
53 1 11
54 2 12
55 6 14
56 7 11
57 3 19
58 7 11
59 6 12
60 0 16
61 9 14
62 0 19
63 8 19
64 5 14
65 3 14
66 8 15
67 0 10
68 4 13
69 1 13
70 4 18
71 7 18
72 2 15
73 8 14
74 8 14
75 8 14
76 8 19
77 6 17
78 0 13
79 2 10
80 7 11
81 8 19
82 1 14
83 7 16
84 5 15
85 5 12
86 7 15
87 1 18
88 7 16
89 9 10
90 5 11
91 5 16
92 5 17
93 9 15
94 0 14
95 4 14
96 1 13
97 6 10
98 2 12
99 7 18
100 1 19
101 8 11
102 0 19
103 6 10
104 2 19
105 5 13
106 8 18
107 0 14
108 3 12
109 3 14
110 1 19
111 7 12
112 1 17
113 4 18
114 6 19
115 3 15
116 1 13
117 4 12
118 5 17
119 8 13
120 8 17
121 4 10
122 9 17
123 1 13
124 9 11
125 7 12
126 6 18
127 4 17
128 5 17
129 0 18
130 6 10
131 9 13
132 4 18
133 3 11
134 6 16
135 2 18
136 3 12
137 7 12
138 9 17
139 1 14
140 6 17
141 9 11
142 9 10
143 3 11
144 4 13
145 7 12
146 8 16
147 4 17
148 6 10
149 2 11
150 2 16
151 0 14
152 9 17
153 9 15
154 3 14
155 2 11
156 8 14
157 0 11
158 1 10
159 1 18
160 7 11
161 0 11
162 6 17
163 4 15
164 5 14
165 2 11
166 9 10
167 0 15
168 2 11
169 5 17
170 5 14
171 7 11
172 8 19
173 3 10
174 9 12
175 4 19
176 6 15
177 0 13
178 8 17
179 1 10
180 7 13
181 9 12
182 2 12
183 6 12
184 8 11
185 3 14
186 1 12
187 7 18
188 8 16
189 3 18
190 1 19
191 8 16
192 5 19
193 3 15
194 8 12
195 9 13
196 0 10
197 4 14
198 6 17
199 2 18
200 1 16
201 8 10
202 9 19
203 7 19
204 4 18
205 9 14
206 7 16
207 9 15
208 1 17
209 2 18
210 8 16
211 2 10
212 6 19
213 3 13
214 1 11
215 5 12
216 7 16
217 5 11
218 8 19
219 7 10
220 2 18
221 0 17
222 2 15
223 7 17
224 2 14
225 2 14
226 5 14
227 8 17
228 6 14
229 9 16
230 6 10
231 3 18
232 3 15
233 2 13
234 0 12
235 9 10
236 4 11
237 5 18
238 5 17
239 5 18
240 6 16
241 7 17
242 1 11
243 9 15
244 5 12
245 3 14
246 2 15
247 4 18
248 6 17
249 5 12
250 5 15
251 9 18
252 0 16
253 7 14
254 8 11
255 7 11
256 5 17
257 0 18
258 2 19
259 9 13
260 5 12
261 8 19
262 6 17
263 4 15
264 2 18
265 8 13
266 7 10
267 2 17
268 9 13
269 5 14
270 9 14
271 0 15
272 6 12
273 5 18
274 2 12
275 8 11
276 7 10
277 4 15
278 4 19
279 4 14
280 4 12
281 8 11
282 5 19
283 8 15
284 0 16
285 4 14
286 7 12
287 7 17
288 3 15
289 7 14
290 0 18
291 3 15
292 1 15
293 7 11
294 3 17
295 7 19
296 2 11
297 4 16
298 6 16
299 9 12
300 1 11
301 5 11
302 3 15
303 8 12
304 2 19
305 6 18
306 7 14
307 5 13
308 2 17
309 7 17
310 0 18
311 1 19
312 2 16
313 6 18
314 0 18
315 1 18
316 1 18
317 3 15
318 8 18
319 5 19
320 5 12
321 6 13
322 3 12
323 6 18
324 7 12
325 9 17
326 7 11
327 7 17
328 7 19
329 9 13
330 7 11
331 0 17
332 3 18
333 2 15
334 5 15
335 0 17
336 4 12
337 7 19
338 5 17
339 3 14
340 1 13
341 7 17
342 8 18
343 6 15
